place;allAbs;all;propertyAbs;property;violenceAbs;violence;drugsAbs;drugs;orderAbs;order;trafficAbs;traffic;otherAbs;other
Evje og Hornnes;214;59.7;65;18.1;24;6.7;27;7.5;17;4.7;45;12.6;38;10.6
Bygland;77;64;14;11.6;7;5.8;0;0;13;10.8;22;18.3;17;14.1
Valle;72;58;14;11.3;7;5.6;5;4;0;0;20;16.1;23;18.5
Bykle;90;95.2;46;48.7;5;5.3;17;18;5;5.3;7;7.4;11;11.6
Uoppgitt kommune Aust-Agder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vest-Agder;13545;74.1;4450;24.4;1410;7.7;2246;12.3;1629;8.9;1808;9.9;2003;11
Kristiansand;7888;89.2;2914;32.9;778;8.8;1322;14.9;1035;11.7;820;9.3;1020;11.5
Mandal;1319;84.9;369;23.8;150;9.7;225;14.5;159;10.2;191;12.3;227;14.6
Farsund;456;47;114;11.7;75;7.7;48;4.9;71;7.3;59;6.1;91;9.4
Flekkefjord;400;44;70;7.7;50;5.5;77;8.5;54;5.9;70;7.7;81;8.9
Vennesla;823;57.5;236;16.5;86;6;182;12.7;83;5.8;123;8.6;114;8
Songdalen;462;72;115;17.9;51;7.9;93;14.5;43;6.7;80;12.5;82;12.8
Søgne;801;71.1;310;27.5;60;5.3;91;8.1;47;4.2;146;13;148;13.1
Marnardal;68;29.7;23;10;7;3.1;7;3.1;9;3.9;15;6.6;8;3.5
Åseral;50;53.1;13;13.8;0;0;0;0;6;6.4;10;10.6;13;13.8
Audnedal;49;28;13;7.4;9;5.1;8;4.6;0;0;9;5.1;8;4.6
Lindesnes;269;54.4;44;8.9;30;6.1;33;6.7;27;5.5;93;18.8;43;8.7
Lyngdal;549;64.6;130;15.3;63;7.4;98;11.5;59;6.9;112;13.2;88;10.4
Hægebostad;58;34.1;14;8.2;6;3.5;15;8.8;0;0;9;5.3;10;5.9
Kvinesdal;261;43.6;51;8.5;42;7;43;7.2;29;4.8;45;7.5;53;8.9
Sirdal;89;48.6;36;19.7;0;0;0;0;0;0;27;14.7;18;9.8
Uoppgitt kommune Vest-Agder;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Rogaland;29576;62.9;9802;20.8;2902;6.2;5216;11.1;3272;7;3540;7.5;4845;10.3
Eigersund;775;51.9;120;8;75;5;154;10.3;86;5.8;193;12.9;148;9.9
Sandnes;5217;69.7;1803;24.1;430;5.7;973;13;541;7.2;712;9.5;759;10.1
Stavanger;9816;74;4324;32.6;992;7.5;1512;11.4;925;7;679;5.1;1385;10.4
Haugesund;3962;107.2;1144;31;390;10.6;831;22.5;667;18.1;299;8.1;632;17.1
Sokndal;98;29.6;15;4.5;14;4.2;18;5.4;17;5.1;14;4.2;22;6.6
Lund;119;36.7;22;6.8;22;6.8;22;6.8;15;4.6;23;7.1;17;5.2
Bjerkreim;103;36.5;13;4.6;10;3.5;7;2.5;5;1.8;53;18.8;16;5.7
Hå;687;37;201;10.8;72;3.9;98;5.3;67;3.6;100;5.4;150;8.1
Klepp;923;48.7;236;12.4;81;4.3;177;9.3;64;3.4;184;9.7;182;9.6
Time;1456;78.4;468;25.2;128;6.9;237;12.8;172;9.3;190;10.2;263;14.2
Gjesdal;633;53.4;212;17.9;53;4.5;105;8.9;46;3.9;114;9.6;105;8.9
Sola;1257;48.2;352;13.5;111;4.3;251;9.6;114;4.4;144;5.5;286;11
Randaberg;290;27;85;7.9;31;2.9;55;5.1;23;2.1;46;4.3;51;4.7
Forsand;33;26.7;10;8.1;0;0;0;0;0;0;6;4.8;11;8.9
Strand;469;37.6;103;8.3;67;5.4;111;8.9;45;3.6;50;4;94;7.5
Hjelmeland;58;21.2;13;4.7;8;2.9;5;1.8;7;2.6;11;4;15;5.5
Suldal;79;20.2;14;3.6;9;2.3;8;2;12;3.1;18;4.6;20;5.1
Sauda;215;45.6;29;6.2;30;6.4;39;8.3;43;9.1;28;5.9;47;10
Finnøy;84;26.1;22;6.8;12;3.7;0;0;0;0;20;6.2;23;7.1
Rennesøy;170;35;37;7.6;17;3.5;19;3.9;14;2.9;56;11.5;28;5.8
Kvitsøy;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bokn;59;68.2;8;9.2;0;0;5;5.8;5;5.8;25;28.9;12;13.9
Tysvær;406;37.2;83;7.6;34;3.1;55;5;37;3.4;105;9.6;94;8.6
Karmøy;2217;52.6;448;10.6;277;6.6;448;10.6;262;6.2;374;8.9;409;9.7
Utsira;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vindafjord;422;48;43;4.9;39;4.4;80;9.1;103;11.7;103;11.7;55;6.3
Uoppgitt kommune Rogaland;27;0;0;0;0;0;0;0;0;0;0;0;23;0
Hordaland;29435;57;10119;19.6;3308;6.4;4100;7.9;3004;5.8;4012;7.8;4894;9.5
Bergen;20612;74.3;8245;29.7;2278;8.2;2684;9.7;2159;7.8;2149;7.7;3099;11.2
Etne;132;32.1;20;4.9;18;4.4;15;3.7;14;3.4;39;9.5;26;6.3
Sveio;249;44.5;40;7.2;22;3.9;31;5.5;17;3;91;16.3;49;8.8
Bømlo;302;25.6;51;4.3;38;3.2;50;4.2;33;2.8;57;4.8;74;6.3
Stord;801;42.7;140;7.5;103;5.5;164;8.7;123;6.6;125;6.7;147;7.8
Fitjar;99;31.5;12;3.8;12;3.8;20;6.4;6;1.9;25;8;25;8
Tysnes;120;42.9;26;9.3;17;6.1;19;6.8;19;6.8;18;6.4;23;8.2
Kvinnherad;313;23.6;48;3.6;44;3.3;56;4.2;25;1.9;45;3.4;97;7.3
Jondal;20;18.1;5;4.5;0;0;0;0;0;0;0;0;7;6.3
Odda;462;66.7;82;11.8;50;7.2;83;12;34;4.9;149;21.5;65;9.4
Ullensvang;114;33.5;25;7.4;11;3.2;8;2.4;9;2.6;33;9.7;30;8.8
Eidfjord;71;76.8;16;17.3;5;5.4;6;6.5;0;0;31;33.5;12;13
Ulvik;29;26;8;7.2;0;0;0;0;0;0;0;0;12;10.8
Granvin;29;31.5;6;6.5;0;0;0;0;0;0;8;8.7;7;7.6
Voss;684;47.4;198;13.7;67;4.6;109;7.6;41;2.8;142;9.8;128;8.9
Kvam;198;23.4;39;4.6;27;3.2;19;2.2;25;2.9;47;5.5;43;5.1
Fusa;95;24.5;24;6.2;6;1.5;14;3.6;8;2.1;14;3.6;31;8
Samnanger;78;31.9;17;7;9;3.7;6;2.5;10;4.1;17;7;19;7.8
Os (Hord.);891;45.1;188;9.5;102;5.2;145;7.3;112;5.7;175;8.9;169;8.6
Austevoll;114;22.3;17;3.3;15;2.9;24;4.7;12;2.3;17;3.3;30;5.9
Sund;207;29.7;52;7.5;29;4.2;33;4.7;17;2.4;30;4.3;48;6.9
Fjell;1076;43.3;320;12.9;115;4.6;183;7.4;82;3.3;191;7.7;187;7.5
Askøy;948;33.4;212;7.5;122;4.3;194;6.8;96;3.4;132;4.7;192;6.8
Vaksdal;205;49.7;26;6.3;13;3.2;9;2.2;10;2.4;116;28.1;32;7.8
Modalen;17;44.6;0;0;0;0;0;0;0;0;0;0;5;13.1
Osterøy;166;20.9;22;2.8;25;3.1;10;1.3;16;2;23;2.9;70;8.8
Meland;255;32.6;54;6.9;30;3.8;44;5.6;21;2.7;59;7.6;48;6.1
Øygarden;134;27.6;25;5.2;27;5.6;12;2.5;11;2.3;17;3.5;44;9.1
Radøy;137;27;22;4.3;27;5.3;13;2.6;15;3;22;4.3;38;7.5
Lindås;731;46.8;152;9.7;82;5.3;126;8.1;75;4.8;186;11.9;111;7.1
Austrheim;81;28.3;20;7;9;3.1;9;3.1;0;0;18;6.3;23;8
Fedje;6;10.4;0;0;0;0;0;0;0;0;0;0;0;0
Masfjorden;63;37;12;7.1;0;0;8;4.7;0;0;32;18.8;7;4.1
Uoppgitt kommune Hordaland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sogn og Fjordane;4243;38.7;599;5.5;481;4.4;625;5.7;501;4.6;1356;12.4;682;6.2
Flora;561;47.1;71;6;88;7.4;120;10.1;88;7.4;112;9.4;83;7
Gulen;48;20.3;9;3.8;5;2.1;6;2.5;8;3.4;10;4.2;11;4.6
Solund;12;15.3;0;0;0;0;0;0;0;0;0;0;7;8.9
Hyllestad;24;17.2;5;3.6;6;4.3;0;0;0;0;0;0;7;5
Høyanger;141;33.9;22;5.3;22;5.3;27;6.5;17;4.1;22;5.3;33;7.9
Vik;87;32.4;14;5.2;18;6.7;14;5.2;17;6.3;16;6;9;3.3
Balestrand;33;25.5;7;5.4;0;0;0;0;7;5.4;0;0;9;7
Leikanger;39;17;0;0;9;3.9;6;2.6;0;0;6;2.6;12;5.2
Sogndal;308;39.3;71;9.1;28;3.6;51;6.5;39;5;62;7.9;58;7.4
Aurland;176;99.8;20;11.3;8;4.5;8;4.5;0;0;124;70.3;14;7.9
Lærdal;408;187.8;14;6.4;6;2.8;0;0;12;5.5;355;163.4;19;8.7
Årdal;112;20.9;17;3.2;18;3.4;17;3.2;11;2.1;14;2.6;36;6.7
Luster;114;22.4;18;3.5;20;3.9;18;3.5;15;2.9;17;3.3;27;5.3
Askvoll;41;13.6;0;0;10;3.3;6;2;0;0;5;1.7;14;4.6
Fjaler;67;23.7;11;3.9;9;3.2;10;3.5;8;2.8;12;4.2;18;6.4
Gaular;79;26.9;12;4.1;9;3.1;6;2;0;0;36;12.2;12;4.1
Jølster;140;46.4;12;4;13;4.3;36;11.9;12;4;56;18.5;13;4.3
Førde;657;50.9;127;9.8;91;7.1;126;9.8;82;6.4;134;10.4;98;7.6
Naustdal;122;43;8;2.8;8;2.8;6;2.1;63;22.2;26;9.2;12;4.2
Bremanger;90;23.4;13;3.4;9;2.3;6;1.6;8;2.1;19;4.9;37;9.6
Vågsøy;189;31.3;34;5.6;29;4.8;35;5.8;29;4.8;22;3.6;41;6.8
Selje;45;16.2;7;2.5;8;2.9;6;2.2;0;0;8;2.9;15;5.4
Eid;314;52.2;39;6.5;31;5.2;69;11.5;36;6;95;15.8;46;7.6
Hornindal;41;34.2;0;0;0;0;0;0;0;0;29;24.2;0;0
Gloppen;129;22.3;23;4;15;2.6;16;2.8;11;1.9;45;7.8;20;3.5
Stryn;270;37.7;37;5.2;21;2.9;31;4.3;24;3.3;126;17.6;32;4.5
Uoppgitt kommune Sogn og Fjordane;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Møre og Romsdal;11177;42.1;2234;8.4;1311;4.9;1997;7.5;1411;5.3;2081;7.8;2144;8.1
Molde;1357;50.8;298;11.1;156;5.8;276;10.3;213;8;212;7.9;204;7.6
Ålesund;2939;62.9;674;14.4;362;7.7;580;12.4;442;9.5;418;8.9;464;9.9
Kristiansund;1530;62.4;349;14.2;165;6.7;346;14.1;228;9.3;165;6.7;278;11.3
Vanylven;64;19.7;8;2.5;12;3.7;7;2.1;7;2.1;15;4.6;16;4.9
Sande (M. og R.);59;23.1;9;3.5;5;2;7;2.7;0;0;16;6.3;19;7.4
Herøy (M. og R.);215;24;35;3.9;29;3.2;28;3.1;16;1.8;57;6.4;52;5.8
Ulstein;334;39.6;88;10.4;41;4.9;49;5.8;39;4.6;60;7.1;59;7
Hareid;206;39.7;27;5.2;26;5;29;5.6;21;4;60;11.6;44;8.5
Volda;382;42.3;80;8.9;54;6;86;9.5;40;4.4;58;6.4;65;7.2
Ørsta;398;37.3;68;6.4;43;4;61;5.7;48;4.5;100;9.4;79;7.4
Ørskog;130;56.3;11;4.8;12;5.2;14;6.1;10;4.3;61;26.4;23;10
Norddal;38;23;8;4.8;6;3.6;0;0;0;0;9;5.4;8;4.8
Stranda;124;27;23;5;11;2.4;22;4.8;15;3.3;28;6.1;26;5.7
Stordal;19;18.6;0;0;0;0;0;0;0;0;5;4.9;0;0
Sykkylven;208;27.1;21;2.7;41;5.3;41;5.3;26;3.4;44;5.7;36;4.7
Skodje;212;45.9;24;5.2;14;3;43;9.3;16;3.5;67;14.5;50;10.8
Sula;251;28;55;6.1;38;4.2;39;4.4;26;2.9;33;3.7;62;6.9
Giske;241;29.8;57;7;21;2.6;50;6.2;24;3;36;4.4;54;6.7
Haram;175;19;40;4.3;25;2.7;25;2.7;14;1.5;25;2.7;47;5.1
Vestnes;223;33.7;34;5.1;30;4.5;27;4.1;15;2.3;63;9.5;56;8.5
Rauma;300;40;42;5.6;21;2.8;29;3.9;24;3.2;131;17.5;54;7.2
Nesset;87;29.3;10;3.4;10;3.4;9;3;13;4.4;20;6.7;25;8.4
Midsund;38;18.2;0;0;7;3.4;0;0;5;2.4;7;3.4;13;6.2
Sandøy;18;14.2;0;0;0;0;0;0;0;0;0;0;12;9.4
Aukra;71;20.2;8;2.3;8;2.3;15;4.3;6;1.7;13;3.7;22;6.3
Fræna;295;30.4;36;3.7;37;3.8;58;6;29;3;70;7.2;67;6.9
Eide;83;23.9;10;2.9;11;3.2;10;2.9;8;2.3;22;6.3;22;6.3
Averøy;222;38.1;24;4.1;30;5.1;47;8.1;28;4.8;42;7.2;52;8.9
Gjemnes;137;52.8;16;6.2;0;0;10;3.9;0;0;90;34.7;14;5.4
Tingvoll;90;29;25;8.1;9;2.9;6;1.9;8;2.6;25;8.1;19;6.1
Sunndal;334;46.6;68;9.5;45;6.3;51;7.1;33;4.6;53;7.4;85;11.9
Surnadal;149;25;25;4.2;23;3.9;15;2.5;21;3.5;32;5.4;33;5.5
Rindal;36;17.7;8;3.9;0;0;0;0;0;0;13;6.4;9;4.4
Halsa;50;32.3;14;9;6;3.9;0;0;6;3.9;9;5.8;13;8.4
Smøla;43;20.1;8;3.7;0;0;0;0;0;0;5;2.3;20;9.3
Aure;97;27.4;26;7.4;7;2;10;2.8;11;3.1;25;7.1;20;5.7
Uoppgitt kommune Møre og Romsdal;31;0;0;0;0;0;0;0;0;0;0;0;29;0
Sør-Trøndelag;17495;55.8;5381;17.2;1679;5.4;2626;8.4;1729;5.5;2811;9;3270;10.4
Trondheim;12890;68.8;4682;25;1173;6.3;2019;10.8;1326;7.1;1385;7.4;2305;12.3
Hemne;118;27.7;11;2.6;14;3.3;11;2.6;10;2.3;47;11;25;5.9
Snillfjord;50;51.1;0;0;0;0;0;0;0;0;32;32.7;9;9.2
Hitra;247;53.4;21;4.5;25;5.4;18;3.9;24;5.2;112;24.2;50;10.8
Frøya;206;42.9;18;3.8;21;4.4;28;5.8;22;4.6;68;14.2;52;10.8
Ørland;206;39.5;40;7.7;33;6.3;37;7.1;16;3.1;37;7.1;43;8.3
Agdenes;67;38.7;8;4.6;6;3.5;0;0;6;3.5;35;20.2;12;6.9
Rissa;214;32.2;24;3.6;28;4.2;28;4.2;17;2.6;65;9.8;54;8.1
Bjugn;160;33.5;14;2.9;17;3.6;24;5;14;2.9;59;12.3;34;7.1
Åfjord;96;29.3;13;4;13;4;5;1.5;9;2.8;25;7.6;32;9.8
Roan;18;18.7;0;0;0;0;0;0;0;0;5;5.2;7;7.3
Osen;24;24.6;0;0;0;0;0;0;0;0;0;0;12;12.3
Oppdal;335;48.6;74;10.7;28;4.1;49;7.1;32;4.6;92;13.4;61;8.9
Rennebu;165;64.4;22;8.6;7;2.7;17;6.6;9;3.5;85;33.2;26;10.1
Meldal;95;24;16;4;18;4.6;7;1.8;10;2.5;23;5.8;22;5.6
Orkdal;554;47;77;6.5;73;6.2;81;6.9;73;6.2;167;14.2;84;7.1
Røros;195;34.6;39;6.9;24;4.3;23;4.1;18;3.2;35;6.2;58;10.3
Holtålen;36;17.7;5;2.5;0;0;0;0;0;0;10;4.9;12;5.9
Midtre Gauldal;222;35.2;26;4.1;17;2.7;26;4.1;18;2.9;81;12.9;54;8.6
Melhus;592;36.8;112;7;62;3.9;94;5.8;46;2.9;170;10.6;109;6.8
Skaun;265;34.2;29;3.7;22;2.8;30;3.9;19;2.5;116;15;50;6.4
Klæbu;140;23.1;33;5.4;22;3.6;21;3.5;12;2;20;3.3;33;5.4
Malvik;432;31.4;74;5.4;52;3.8;86;6.3;29;2.1;107;7.8;85;6.2
Selbu;138;33.4;30;7.3;7;1.7;18;4.4;10;2.4;35;8.5;39;9.4
Tydal;25;29.4;6;7.1;0;0;0;0;0;0;0;0;0;0
Uoppgitt kommune Sør-Trøndelag;11;0;0;0;0;0;0;0;0;0;0;0;0;0
Nord-Trøndelag;5856;42.9;1373;10.1;608;4.5;803;5.9;586;4.3;1195;8.8;1292;9.5
Steinkjer;1060;48.7;306;14;75;3.4;165;7.6;93;4.3;231;10.6;191;8.8
Namsos;504;38.7;110;8.5;82;6.3;78;6;59;4.5;61;4.7;116;8.9
Meråker;118;46.8;20;7.9;9;3.6;14;5.5;13;5.2;24;9.5;39;15.5
Stjørdal;1226;52.6;292;12.5;114;4.9;203;8.7;112;4.8;241;10.3;266;11.4
Frosta;95;36.1;18;6.8;6;2.3;18;6.8;11;4.2;18;6.8;25;9.5
Leksvik;91;25.8;13;3.7;10;2.8;5;1.4;7;2;25;7.1;33;9.3
Levanger;833;42.5;249;12.7;99;5;89;4.5;90;4.6;158;8.1;148;7.5
Verdal;802;53.9;186;12.5;102;6.9;98;6.6;114;7.7;144;9.7;160;10.7
Mosvik (-2011);.;.;.;.;.;.;.;.;.;.;.;.;.;.
Verran;55;21.8;8;3.2;7;2.8;0;0;0;0;10;4;25;9.9
Namdalseid;62;38.2;5;3.1;0;0;0;0;6;3.7;31;19.1;14;8.6
Inderøy (-2011);.;.;.;.;.;.;.;.;.;.;.;.;.;.
Snåase - Snåsa;87;40.7;12;5.6;0;0;16;7.5;0;0;34;15.9;19;8.9
Lierne;26;18.9;7;5.1;0;0;0;0;0;0;0;0;10;7.3
