place;allAbs;all;propertyAbs;property;violenceAbs;violence;drugsAbs;drugs;orderAbs;order;trafficAbs;traffic;otherAbs;other
Målselv;327;48.5;54;8;38;5.6;46;6.8;47;7;83;12.3;60;8.9
Sørreisa;99;28.7;11;3.2;14;4.1;29;8.4;12;3.5;19;5.5;16;4.6
Dyrøy;31;26.8;0;0;5;4.3;0;0;5;4.3;0;0;12;10.4
Tranøy;53;34.3;0;0;14;9.1;8;5.2;9;5.8;7;4.5;12;7.8
Torsken;34;37.2;0;0;5;5.5;6;6.6;5;5.5;0;0;13;14.2
Berg;18;19.7;0;0;0;0;0;0;0;0;6;6.6;0;0
Lenvik;644;55.4;66;5.7;102;8.8;115;9.9;102;8.8;121;10.4;140;12.1
Balsfjord;364;63.8;26;4.6;37;6.5;50;8.8;31;5.4;159;27.9;62;10.9
Karlsøy;56;24.5;10;4.4;14;6.1;0;0;7;3.1;6;2.6;18;7.9
Lyngen;139;48.6;8;2.8;25;8.7;19;6.6;15;5.2;32;11.2;41;14.3
Storfjord - Omasvuotna - Omasvuono;133;71.3;11;5.9;15;8;12;6.4;10;5.4;50;26.8;36;19.3
Gáivuotna - Kåfjord;99;46;15;7;22;10.2;13;6;11;5.1;24;11.2;17;7.9
Skjervøy;120;41.1;7;2.4;21;7.2;32;11;23;7.9;10;3.4;28;9.6
Nordreisa;232;47.4;27;5.5;40;8.2;39;8;26;5.3;48;9.8;53;10.8
Kvænangen;84;68.2;11;8.9;7;5.7;16;13;0;0;23;18.7;24;19.5
Uoppgitt kommune Troms;16;0;0;0;0;0;0;0;0;0;0;0;13;0
Finnmark - Finnmárku;4871;64.3;584;7.7;705;9.3;889;11.7;666;8.8;893;11.8;1134;15
Vardø;141;66;8;3.7;29;13.6;42;19.7;22;10.3;13;6.1;27;12.6
Vadsø;375;60.9;41;6.7;81;13.1;84;13.6;55;8.9;47;7.6;68;11
Hammerfest;588;56.2;72;6.9;93;8.9;137;13.1;101;9.7;60;5.7;127;12.1
Guovdageaidnu - Kautokeino;235;79.5;25;8.5;22;7.4;10;3.4;26;8.8;71;24;82;27.7
Alta;1198;59.6;183;9.1;171;8.5;227;11.3;139;6.9;261;13;219;10.9
Loppa;24;25.2;0;0;6;6.3;0;0;0;0;0;0;8;8.4
Hasvik;93;88.2;11;10.4;19;18;6;5.7;20;19;17;16.1;22;20.9
Kvalsund;176;170;16;15.5;10;9.7;13;12.6;6;5.8;99;95.7;33;31.9
Måsøy;55;45.3;8;6.6;8;6.6;10;8.2;6;4.9;7;5.8;17;14
Nordkapp;155;47.3;22;6.7;21;6.4;14;4.3;23;7;25;7.6;51;15.6
Porsanger - Porsángu - Porsanki;282;70.9;34;8.5;50;12.6;39;9.8;27;6.8;55;13.8;78;19.6
Kárásjohka - Karasjok;156;58.5;19;7.1;15;5.6;20;7.5;22;8.2;29;10.9;54;20.2
Lebesby;109;82.7;10;7.6;20;15.2;31;23.5;16;12.1;12;9.1;21;15.9
Gamvik;60;52.7;7;6.1;12;10.5;11;9.7;10;8.8;10;8.8;12;10.5
Berlevåg;69;69;8;8;14;14;14;14;9;9;8;8;18;18
Deatnu - Tana;180;61.6;20;6.8;20;6.8;33;11.3;18;6.2;45;15.4;46;15.7
Unjárga - Nesseby;77;80.3;8;8.3;13;13.6;15;15.6;8;8.3;20;20.9;15;15.6
Båtsfjord;125;56.5;11;5;16;7.2;38;17.2;20;9;7;3.2;35;15.8
Sør-Varanger;753;73.6;84;8.2;90;8.8;146;14.3;140;13.7;110;10.8;184;18
Uoppgitt kommune Finnmark;23;0;0;0;0;0;0;0;0;0;0;0;21;0
Uoppgitt fylke;12000;0;8486;0;325;0;132;0;202;0;152;0;2705;0
